symptom,,,,,
itching,,,,,
skin_rash,Psoriasis,,,,
nodal_skin_eruptions,,,,,
continuous_sneezing,Allergy,Common Cold,,,
shivering,Allergy,,,,
chills,Allergy,Gastritis,Tuberculosis,Pneumonia,
watering_from_eyes,Allergy,,,,
blocked_nose,Common Cold,,,,
runny_nose,Common Cold,,,,
cough,Common Cold,Pneumonia,,,
hoarse_voice,Common Cold,,,,
sore_throat,Common Cold,,,,
feeling_tired,Common Cold,,,,
high_temperature,Common Cold,,,,
muscle_pain,Common Cold,,,,
loss_of_taste ,Common Cold,,,,
loss_of_smell,Common Cold,,,,
vomiting,Gastritis,Hypertension,Tuberculosis,,
dehydration,Gastritis,,,,
diarrhea,Gastritis,Inflammatory Bowel Disease (IBD),,,
sunken_eyes,Gastritis,,,,
chest_pain,Gastritis,Hypertension,Tuberculosis,Pneumonia,
upset_stomach,Gastritis,,,,
headache,Gastritis,Hypertension,Chicken pox,Migraine,
fatigue,Bronchial Asthma,Tuberculosis,Pneumonia,Hypothyroidism,Autoimmune Diseases
wheezing,Bronchial Asthma,Pneumonia,,,
breathlessness,Bronchial Asthma,Tuberculosis,Pneumonia,,
tight_chest,Bronchial Asthma,,,,
persistent_cough,Bronchial Asthma,,,,
high_fever,Bronchial Asthma,Chicken pox,,,
family_history,Bronchial Asthma,,,,
dizziness,Hypertension,,,,
difficulty_breathing,Hypertension,,,,
abnormal_heart_rhythm,Hypertension,,,,
blurred_vision,Hypertension,,,,
loss_of_balance,Hypertension,,,,
anxiety,Hypertension,,,,
,,,,,
nausea,Hypertension,,,,
tinnitus,Hypertension,,,,
nosebleeds,Hypertension,,,,
lethargy,Diabetes ,Chicken pox,,,
excessive_hunger,Diabetes ,,,,
increased_appetite,Diabetes ,,,,
often_thirsty,Diabetes ,,,,
often_urinate,Diabetes ,,,,
blurred_and_distorted_vision,Diabetes ,,,,
weight_loss,Diabetes ,Tuberculosis,Chronic Kidney Disease,,
obesity,Diabetes ,,,,
loss_of_appetite,Chicken pox,Tuberculosis,,,
malaise,Chicken pox,,,,
red_spots_over_body,Chicken pox,Tuberculosis,,,
spots_over_body_fill_with_fluid  ,Chicken pox,,,,
itchy_blisters,Chicken pox,,,,
spots_over_body_leak_fluid,Chicken pox,,,,
swelled_lymph_nodes,Chicken pox,Tuberculosis,,,
prolonged_cough,Tuberculosis,,,,
yellowing_of_eyes,Tuberculosis,,,,
sweating,Tuberculosis,Pneumonia,,,
phlegm,Tuberculosis,Pneumonia,,,
night_sweats,Tuberculosis,,,,
high_fever,Tuberculosis,Pneumonia,,,
blood_in_sputum,Tuberculosis,,,,
fast_heart_rate,Pneumonia,,,,
rusty_sputum,Pneumonia,,,,
aching_body,Pneumonia,,,,
feeling_confused,Pneumonia,,,,
weight_gain,Hypothyroidism,,,,
depression,Hypothyroidism,,,,
joint_pain,Hypothyroidism,Arthritis,Psoriasis,,
muscle_pain,Hypothyroidism,,,,
dry_skin,Hypothyroidism,,,,
swollen_extremeties,Hypothyroidism,,,,
cold_hands_and_feets,Hypothyroidism,,,,
enlarged_thyroid,Hypothyroidism,,,,
dizziness,Hypothyroidism,,,,
muscle_cramps,Hypothyroidism,,,,
slow_movements,Hypothyroidism,,,,
slow_thoughts,Hypothyroidism,,,,
abnormal_menstruation,Hypothyroidism,,,,
slowed_heart_rate,Hypothyroidism,,,,
stiff_neck,Arthritis,,,,
painful_walking,Arthritis,,,,
muscle_weakness,Arthritis,,,,
swelling_joints,Arthritis,,,,
movement_stiffness,Arthritis,,,,
inflammation_joint,Arthritis,,,,
warm_red_skin_over_the_affected_joint,Arthritis,,,,
muscle_wasting,Arthritis,,,,
continuous_feel_of_urine,Lower Urinary tract infection,Upper Urinary tract infection,,,
lower_belly_pain,Lower Urinary tract infection,Upper Urinary tract infection,,,
burning_micturition,Lower Urinary tract infection,Upper Urinary tract infection,,,
pain_when_peeing ,Lower Urinary tract infection,Upper Urinary tract infection,,,
frequent_urination,Lower Urinary tract infection,Upper Urinary tract infection,Chronic Kidney Disease,,
bladder_discomfort,Lower Urinary tract infection,Upper Urinary tract infection,,,
cloudy_urine,Lower Urinary tract infection,Upper Urinary tract infection,,,
foul_smelling_urine,Lower Urinary tract infection,Upper Urinary tract infection,,,
blood_in_urine,Lower Urinary tract infection,Upper Urinary tract infection,Chronic Kidney Disease,,
skin_peeling,Psoriasis,,,,
silver_like_dusting,Psoriasis,,,,
small_dents_in_nails,Psoriasis,,,,
inflammatory_nails,Psoriasis,,,,
itchy_skin,Chronic Kidney Disease,,,,
insomnia,Chronic Kidney Disease,,,,
swollen_ankles,Chronic Kidney Disease,,,,
erectile_dysfunction,Chronic Kidney Disease,,,,
muscle_cramps,Chronic Kidney Disease,,,,
stiffness,Autoimmune Diseases,,,,
muscle_aches,Autoimmune Diseases,,,,
skin_change,Autoimmune Diseases,,,,
fever,Autoimmune Diseases,,,,
shortness_of_breath,Autoimmune Diseases,,,,
vision_impairment,Stroke,,,,
numbness,Stroke,,,,
confusion,Stroke,,,,
memory_loss,Stroke,,,,
trouble_walking,Stroke,,,,
trouble_speaking ,Stroke,,,,
feeling_dizzy,Stroke,,,,
falling_over,Stroke,,,,
facial_paralysis,Stroke,,,,
arm_paralysis,Stroke,,,,
leg_paralysis,Stroke,,,,
angina,Coronary Artery Disease,,,,
pain_in_your_neck,Coronary Artery Disease,,,,
pain_in_your_shoulders,Coronary Artery Disease,,,,
pain_in_your_arms,Coronary Artery Disease,,,,
cold_sweat,Coronary Artery Disease,,,,
tummy_pain,Inflammatory Bowel Disease (IBD),,,,
blood_in_stool,Inflammatory Bowel Disease (IBD),,,,
mucus_in_stool,Inflammatory Bowel Disease (IBD),,,,
extreme_tiredness,Inflammatory Bowel Disease (IBD),,,,
stiff_neck,Migraine,,,,
dizziness,Migraine,,,,
indigestion,Migraine,,,,
blurred_and_distorted_vision,Migraine,,,,
